par-text-partials-format
point-type,time,frequency,amplitude
partials-count,33
partials-data
0,5,0.000000,0.040000
0.000000,9744.867188,0.001160,0.010000,9742.573242,0.001714,0.020000,9741.403320,0.001565,0.030000,9742.175781,0.000889,0.040000,9742.175781,0.000000
1,6,0.000000,0.050000
0.000000,9636.842773,0.001252,0.010000,9642.950195,0.001881,0.020000,9646.914063,0.001812,0.030000,9649.679688,0.001181,0.040000,9652.476563,0.000558,0.050000,9652.476563,0.000000
2,6,0.000000,0.050000
0.000000,9498.567383,0.001305,0.010000,9489.170898,0.001885,0.020000,9485.457031,0.001660,0.030000,9475.877930,0.000888,0.040000,9469.667969,0.000341,0.050000,9469.667969,0.000000
3,9,0.000000,0.080000
0.000000,6590.803711,0.002259,0.010000,6592.353516,0.003713,0.020000,6595.279785,0.003702,0.030000,6597.988281,0.002279,0.040000,6596.886719,0.000881,0.050000,6593.588867,0.000363,0.060000,6586.755859,0.000387,0.070000,6585.795898,0.000345,0.080000,6585.795898,0.000000
4,8,0.000000,0.070000
0.000000,6515.374023,0.001737,0.010000,6508.940430,0.002738,0.020000,6508.117188,0.002725,0.030000,6509.348145,0.001796,0.040000,6510.927734,0.000906,0.050000,6512.004395,0.000512,0.060000,6511.826660,0.000395,0.070000,6511.826660,0.000000
5,7,0.000000,0.060000
0.000000,6175.799805,0.001910,0.010000,6182.518066,0.002936,0.020000,6197.435059,0.002701,0.030000,6173.696777,0.001616,0.040000,6170.560547,0.000711,0.050000,6166.646973,0.000356,0.060000,6166.646973,0.000000
6,8,0.000000,0.070000
0.000000,6043.215332,0.001941,0.010000,6031.709473,0.003099,0.020000,6026.833496,0.003182,0.030000,6025.024902,0.002181,0.040000,6024.454102,0.001020,0.050000,6039.164551,0.000390,0.060000,6045.557617,0.000321,0.070000,6045.557617,0.000000
7,9,0.000000,0.080000
0.000000,5464.352051,0.003431,0.010000,5464.649414,0.005124,0.020000,5466.697266,0.004723,0.030000,5470.576172,0.002744,0.040000,5476.844727,0.001153,0.050000,5484.367676,0.000707,0.060000,5478.659668,0.000504,0.070000,5474.699219,0.000339,0.080000,5474.699219,0.000000
8,9,0.000000,0.080000
0.000000,5338.256348,0.003347,0.010000,5338.613281,0.005454,0.020000,5338.966309,0.005501,0.030000,5352.191895,0.003482,0.040000,5359.791992,0.001949,0.050000,5364.121094,0.001264,0.060000,5368.151855,0.000783,0.070000,5345.941895,0.000439,0.080000,5345.941895,0.000000
9,11,0.000000,0.110000
0.000000,5250.819824,0.002573,0.010000,5247.019531,0.004180,0.020000,5243.854980,0.004476,0.030000,5241.375488,0.003361,0.040000,5239.081055,0.001781,0.050000,5233.344727,0.000741,0.060000,5265.319336,0.000592,0.070000,5262.223633,0.000447,0.080000,5257.622559,0.000339,0.100000,5212.114746,0.000332,0.110000,5212.114746,0.000000
10,10,0.000000,0.090000
